ID	Quelle	Titel	Autor_normalisiert	GND	Jahr	Geschlecht	Gattung	Gattung1	Gattung1 (Allgemeinwissenschaft)	Gattung2	Erzähltes Medium	Erzählerposition	Happyend	Epoche (nach Jahr)	Epoche (nach Fachwissenschaft)	Strömung	Ort	Verlag	Originalsprache	URI
k00100000001	Kernkorpus/TextGrid	Marie Müller	Ahlefeld, Charlotte von	118962590	1799	f	Roman	Frauenroman	Unterhaltungsroman		Erzählung	heterodiegetisch	kein Happyend	Romantik					de	textgrid:jkgj.0
k00100000002	Kernkorpus/TextGrid	Erna	Ahlefeld, Charlotte von	118962590	1819	f	Roman	Frauenroman	Unterhaltungsroman		Erzählung	heterodiegetisch	Happyend	Romantik					de	textgrid:jk9g.0
k00100000003	Kernkorpus/TextGrid	Die Hosen des Herrn von Bredow	Alexis, Willibald	118648071	1846	m	Roman	Historischer Roman::humoristischer Roman		Populäre Unterhaltung	Erzählung	heterodiegetisch	Happyend	Realismus	Realismus (3)				de	textgrid:jkjt.0
k00100000004	Kernkorpus/TextGrid	Ruhe ist die erste Bürgerpflicht	Alexis, Willibald	118648071	1852	m	Roman	Historischer Roman::Preußenroman::Gesellschaftsroman		Zeit und Gesellschaft/Populäre Unterhaltung	Erzählung	heterodiegetisch	unbestimmbar	Realismus	Realismus (3)				de	textgrid:jkjq.0
k00100000005	Kernkorpus/TextGrid	Die chymische Hochzeit - Christiani Rosencreutz anno 1459	Andreae, Johann Valentin	118502883	1616	m	Roman	Allegorische Erzählung::Märchenhafte Erzählung	alchemischer Roman::Phantasiestück		Erzählung	homodiegetisch	kein Happyend?	Frühe Neuzeit	Barock (2) | Frühe Neuzeit (1)	Barock			de	textgrid:jn52.0
k00100000006	Kernkorpus/TextGrid	Fortunatus	Anonym		1509	m	Roman	Prosaroman::Exempelroman::Volksbuch::Gesellschaftsroman		Zeit und Gesellschaft	Erzählung	heterodiegetisch	kein Happyend	Frühe Neuzeit	Renaissance (1)	Renaissance::Übergangszeit			de	textgrid:jndc.0
k00100000007	Kernkorpus/TextGrid	Schwester Monika	Anonym		1815	m	Roman	Erotischer Roman	erotischer Roman	Populäre Unterhaltung	Erzählung	gemischt		Romantik					de	textgrid:jngm.0
k00100000008	Kernkorpus/TextGrid	Die durchleuchtige Syrerin Aramena	Anton Ulrich Herzog von Braunschweig	118503472	1669	m	Roman	Historischer Roman::Heroisch-galanter Roman::Staatsroman::Liebesroman::höfisch-historischer Roman::Schäferroman		Ideen und Religion	Erzählung	gemischt	Happyend	Frühe Neuzeit	Barock (3)	Barock			de	textgrid:jnr9.0
k00100000009	Kernkorpus/TextGrid	Der Sternsteinhof	Anzengruber, Ludwig	11850357X	1885	m	Roman	Bauernroman::Dorfgeschichte::Heimatroman	Dorfgeschichte	Zeit und Gesellschaft	Erzählung	heterodiegetisch	Happyend	Realismus	Moderne-Naturalismus (2) | Realismus (2)	Naturalismus			de	textgrid:jn7q.0
k00100000010	Kernkorpus/TextGrid	Der goldene Esel	Apuleius	11850374X	160	m	Roman	Satirischer Roman::Zeitroman::Sittenroman::Schelmenroman		Zeit und Gesellschaft	Erzählung	heterodiegetisch	Happyend	Antike		Römische Antike			la	textgrid:k0g2.0
k00100000011	Kernkorpus/TextGrid	Die philosophische Therese	Argens, Jean-Baptiste Boyer, Marquis d	11865005X	1748	m	Roman	Erotischer Roman	erotischer Roman	Populäre Unterhaltung	Erzählung	homodiegetisch	unbestimmbar	Aufklärung					fr	textgrid:k1d4.0
